vel,flux
9.786201e+02,2.279435e-06
9.852042e+02,2.134508e-06
9.925199e+02,-3.687324e-06
9.991040e+02,3.084831e-06
1.006420e+03,-2.245323e-06
1.013735e+03,-5.575147e-06
1.020319e+03,-6.918691e-06
1.027635e+03,4.738518e-06
1.034219e+03,-1.722848e-05
1.041535e+03,5.598052e-06
1.048850e+03,-2.397064e-06
1.055434e+03,-4.145905e-06
1.062750e+03,-2.534253e-06
1.069334e+03,-4.008772e-06
1.076650e+03,3.375000e-06
1.083965e+03,6.441169e-06
1.090550e+03,1.310845e-07
1.097865e+03,-8.680368e-06
1.105181e+03,5.157404e-06
1.111765e+03,4.465099e-06
1.119081e+03,1.807556e-07
1.125665e+03,9.951799e-07
1.132980e+03,-6.454925e-06
1.140296e+03,5.633865e-06
1.146880e+03,-2.209063e-06
1.154196e+03,-3.010549e-06
1.160780e+03,-5.955244e-06
1.168095e+03,1.008078e-05
1.175411e+03,6.885836e-06
1.181995e+03,8.346878e-06
1.189311e+03,-4.153163e-06
1.195895e+03,4.828043e-06
1.203210e+03,1.858608e-06
1.210526e+03,9.224945e-06
1.217110e+03,-2.629949e-06
1.224426e+03,2.806232e-06
1.231010e+03,1.331158e-06
1.238326e+03,8.507641e-06
1.245641e+03,4.499360e-06
1.252225e+03,-1.727625e-06
1.259541e+03,5.436978e-06
1.266125e+03,7.556155e-06
1.273441e+03,8.358334e-07
1.280756e+03,-1.627543e-06
1.287340e+03,-2.886096e-06
1.294656e+03,1.707033e-06
1.301240e+03,-6.209670e-07
1.308556e+03,8.728600e-06
1.315871e+03,1.146280e-05
1.322456e+03,-5.625672e-06
1.329771e+03,1.119323e-05
1.337087e+03,3.201304e-06
1.343671e+03,-2.590829e-06
1.350987e+03,-5.534322e-06
1.357571e+03,1.037512e-05
1.364886e+03,6.155675e-06
1.372202e+03,-2.918122e-06
1.378786e+03,4.222913e-06
1.386102e+03,-6.262641e-06
1.392686e+03,-7.331754e-06
