vel,flux,err
-6.044857e+02,-1.922314e-04,3.000000e-04
-5.979016e+02,-2.538093e-04,3.000000e-04
-5.905859e+02,-1.126803e-04,3.000000e-04
-5.832703e+02,-1.492340e-04,3.000000e-04
-5.766862e+02,-6.739805e-04,3.000000e-04
-5.693706e+02,-2.812921e-04,3.000000e-04
-5.627865e+02,-6.046815e-05,3.000000e-04
-5.554708e+02,4.865061e-05,3.000000e-04
-5.488867e+02,-1.571398e-04,3.000000e-04
-5.415711e+02,-3.826246e-04,3.000000e-04
-5.349870e+02,-6.075869e-04,3.000000e-04
-5.276714e+02,-1.287612e-04,3.000000e-04
-5.210873e+02,1.247936e-04,3.000000e-04
-5.137716e+02,7.939568e-04,3.000000e-04
-5.064560e+02,2.198825e-04,3.000000e-04
-4.998719e+02,2.685521e-04,3.000000e-04
-4.925563e+02,3.972212e-04,3.000000e-04
-4.859722e+02,-1.721910e-04,3.000000e-04
-4.786565e+02,-2.485473e-04,3.000000e-04
-4.720725e+02,8.606649e-05,3.000000e-04
-4.647568e+02,1.721540e-04,3.000000e-04
-4.581727e+02,3.191294e-04,3.000000e-04
-4.508571e+02,6.302029e-04,3.000000e-04
-4.435414e+02,2.910183e-04,3.000000e-04
-4.369574e+02,1.731765e-05,3.000000e-04
-4.296417e+02,-1.463581e-04,3.000000e-04
-4.230576e+02,-3.507900e-04,3.000000e-04
-4.157420e+02,-4.934096e-04,3.000000e-04
-4.091579e+02,-1.128092e-04,3.000000e-04
-4.018423e+02,2.556679e-04,3.000000e-04
-3.952582e+02,3.506217e-04,3.000000e-04
-3.879425e+02,-6.665556e-04,3.000000e-04
-3.806269e+02,-2.697860e-04,3.000000e-04
-3.740428e+02,1.890439e-04,3.000000e-04
-3.667272e+02,-2.862113e-04,3.000000e-04
-3.601431e+02,-2.546726e-04,3.000000e-04
-3.528274e+02,-3.600480e-04,3.000000e-04
-3.462433e+02,4.090165e-04,3.000000e-04
-3.389277e+02,-7.872659e-05,3.000000e-04
-3.323436e+02,-2.925689e-05,3.000000e-04
-3.250280e+02,3.045210e-04,3.000000e-04
-3.177123e+02,9.295462e-05,3.000000e-04
-3.111282e+02,4.957876e-04,3.000000e-04
-3.038126e+02,-6.802558e-04,3.000000e-04
-2.972285e+02,3.815493e-04,3.000000e-04
-2.899129e+02,5.648852e-04,3.000000e-04
-2.833288e+02,5.917162e-04,3.000000e-04
-2.760131e+02,5.630524e-04,3.000000e-04
-2.694291e+02,3.411067e-04,3.000000e-04
-2.621134e+02,8.530900e-04,3.000000e-04
-2.547978e+02,9.394335e-04,3.000000e-04
-2.482137e+02,1.227640e-03,3.000000e-04
-2.408980e+02,1.294657e-03,3.000000e-04
-2.343140e+02,1.835195e-03,3.000000e-04
-2.269983e+02,1.660868e-03,3.000000e-04
-2.204142e+02,1.972450e-03,3.000000e-04
-2.130986e+02,1.896860e-03,3.000000e-04
-2.057829e+02,2.636579e-03,3.000000e-04
-1.991989e+02,2.460670e-03,3.000000e-04
-1.918832e+02,2.726789e-03,3.000000e-04
-1.852991e+02,2.639043e-03,3.000000e-04
-1.779835e+02,2.807219e-03,3.000000e-04
-1.713994e+02,3.106695e-03,3.000000e-04
-1.640838e+02,2.940425e-03,3.000000e-04
-1.574997e+02,3.338076e-03,3.000000e-04
-1.501840e+02,3.062504e-03,3.000000e-04
-1.428684e+02,2.772198e-03,3.000000e-04
-1.362843e+02,2.158331e-03,3.000000e-04
-1.289687e+02,2.576588e-03,3.000000e-04
-1.223846e+02,2.226658e-03,3.000000e-04
-1.150689e+02,2.202785e-03,3.000000e-04
-1.084849e+02,1.652112e-03,3.000000e-04
-1.011692e+02,1.907924e-03,3.000000e-04
-9.385356e+01,9.860399e-04,3.000000e-04
-8.726948e+01,1.756344e-03,3.000000e-04
-7.995383e+01,8.384712e-04,3.000000e-04
-7.336975e+01,1.439331e-03,3.000000e-04
-6.605411e+01,6.653808e-04,3.000000e-04
